unit,cycle,op1,op2,op3,s2,s3,s4,s7,s8
1,1,-0.0007,-0.0004,100.0,641.82,1589.7,1400.6,554.36,2388.06
1,2,0.0019,-0.0003,100.0,642.15,1591.82,1403.14,553.75,2388.04
1,3,-0.0043,0.0003,100.0,642.35,1587.99,1404.2,554.26,2388.08
1,4,0.0007,0.0,100.0,642.35,1582.79,1401.87,554.45,2388.11
1,5,-0.0019,-0.0002,100.0,642.37,1582.85,1406.22,554.0,2388.06
1,6,-0.0043,-1e-04,100.0,642.1,1584.47,1398.37,554.67,2388.02
1,7,0.001,1e-04,100.0,642.48,1592.32,1397.77,554.34,2388.02
1,8,-0.0034,0.0003,100.0,642.56,1582.96,1400.97,553.85,2388.0
1,9,0.0008,1e-04,100.0,642.12,1590.98,1394.8,553.69,2388.05
1,10,-0.0033,1e-04,100.0,641.71,1591.24,1400.46,553.59,2388.05
1,11,0.0018,-0.0003,100.0,642.28,1581.75,1400.64,554.54,2388.05
1,12,0.0016,0.0002,100.0,642.06,1583.41,1400.15,554.52,2388.09
1,13,-0.0019,0.0004,100.0,643.07,1582.19,1400.83,553.44,2388.12
1,14,0.0009,-0.0,100.0,642.35,1592.95,1399.16,554.48,2388.09
1,15,-0.0018,-0.0003,100.0,642.43,1583.82,1402.13,553.64,2388.11
1,16,0.0006,0.0005,100.0,642.13,1587.98,1404.5,553.94,2388.05
1,17,0.0002,0.0002,100.0,642.58,1584.96,1399.95,553.8,2388.06
1,18,-0.0031,-1e-04,100.0,642.62,1591.04,1396.12,554.2,2388.05
1,19,0.0032,-0.0003,100.0,641.79,1587.56,1400.35,554.18,2388.04
1,20,-0.0037,1e-04,100.0,643.04,1581.11,1405.23,554.81,2388.05
1,21,-0.0012,1e-04,100.0,642.37,1586.07,1398.13,554.08,2388.11
1,22,0.0002,0.0,100.0,642.77,1592.93,1400.57,553.63,2388.04
1,23,0.0034,-0.0003,100.0,642.14,1588.19,1394.75,553.98,2388.05
1,24,-0.001,0.0003,100.0,642.38,1590.83,1398.81,553.49,2388.12
1,25,0.0023,-0.0004,100.0,642.77,1594.1,1399.39,554.0,2388.02
1,26,0.0,0.0002,100.0,642.16,1589.08,1396.07,554.11,2388.07
1,27,-0.0012,-0.0004,100.0,642.44,1590.47,1401.84,554.07,2388.02
1,28,-0.0024,0.0005,100.0,642.35,1582.84,1399.13,554.68,2388.12
1,29,0.0012,-1e-04,100.0,641.91,1584.83,1400.99,554.25,2388.05
1,30,-0.0022,0.0,100.0,642.2,1593.52,1396.08,554.37,2388.07
1,31,0.0014,0.0005,100.0,642.02,1584.18,1396.9,554.13,2388.08
1,32,0.0005,-0.0003,100.0,642.33,1591.38,1400.36,554.96,2388.04
1,33,-0.0042,-0.0004,100.0,642.71,1588.4,1402.43,554.61,2388.04
1,34,0.0015,-1e-04,100.0,642.54,1581.47,1400.48,554.3,2388.03
1,35,0.0003,0.0002,100.0,642.44,1590.0,1403.0,554.3,2388.04
1,36,-0.0004,-0.0002,100.0,642.54,1581.72,1405.54,554.53,2388.01
1,37,-0.0004,-0.0,100.0,641.99,1579.11,1398.9,554.63,2388.07
1,38,-0.0018,-0.0002,100.0,641.93,1589.6,1399.5,554.7,2388.08
1,39,-0.003,-1e-04,100.0,642.01,1583.21,1400.69,553.97,2388.02
1,40,-0.0,-0.0004,100.0,642.24,1582.08,1401.77,554.57,2388.06
1,41,0.0033,0.0004,100.0,642.4,1591.31,1403.21,553.72,2388.06
1,42,0.0005,-0.0004,100.0,642.12,1584.66,1401.38,553.94,2388.08
1,43,-0.0027,0.0005,100.0,642.24,1591.52,1406.05,553.68,2388.03
1,44,-1e-04,0.0002,100.0,641.93,1586.94,1401.2,554.15,2388.04
1,45,-0.0013,-0.0,100.0,642.53,1582.42,1399.16,553.83,2388.08
1,46,0.0003,1e-04,100.0,642.43,1588.29,1401.27,553.76,2388.06
1,47,0.0,0.0005,100.0,642.21,1580.32,1402.89,554.38,2388.06
1,48,0.0019,1e-04,100.0,641.89,1588.51,1399.16,554.02,2388.08
1,49,-0.0014,0.0005,100.0,642.23,1584.35,1397.76,554.23,2388.07
1,50,-0.0032,-1e-04,100.0,642.77,1588.49,1403.62,553.92,2388.06
1,51,-0.001,0.0003,100.0,642.81,1585.54,1400.42,553.73,2388.02
1,52,0.0018,-1e-04,100.0,642.76,1583.77,1395.57,553.04,2388.04
1,53,0.0021,-1e-04,100.0,642.61,1579.82,1402.26,554.16,2388.05
1,54,-0.0002,0.0005,100.0,642.42,1592.59,1401.2,553.95,2388.04
1,55,0.0009,-0.0,100.0,642.41,1584.95,1401.58,554.45,2388.04
1,56,0.0007,-0.0002,100.0,642.49,1586.33,1400.76,553.98,2388.01
1,57,-0.0033,0.0,100.0,642.13,1583.67,1402.79,553.42,2388.05
1,58,-0.0014,1e-04,100.0,641.9,1590.46,1397.99,554.14,2388.09
1,59,-0.0006,0.0002,100.0,642.33,1596.72,1403.51,554.62,2388.07
1,60,-0.001,-0.0002,100.0,642.34,1582.75,1403.07,554.0,2388.06
1,61,0.0004,0.0005,100.0,642.1,1583.55,1405.52,554.09,2388.11
1,62,0.0004,1e-04,100.0,642.17,1581.59,1399.54,554.45,2388.1
1,63,0.0015,0.0002,100.0,642.6,1592.14,1395.38,553.48,2388.06
1,64,0.0017,0.0002,100.0,642.23,1584.51,1400.11,553.88,2388.1
1,65,-0.0,0.0005,100.0,642.28,1584.72,1403.24,553.97,2388.03
1,66,-0.0007,-0.0004,100.0,642.5,1588.5,1399.52,554.0,2388.06
1,67,0.0016,-0.0004,100.0,642.33,1590.22,1403.02,554.31,2388.1
1,68,-0.0018,0.0,100.0,642.51,1582.06,1404.42,554.04,2388.1
1,69,-0.0022,0.0005,100.0,642.44,1590.7,1401.24,554.65,2388.07
1,70,-0.0005,0.0002,100.0,642.22,1584.02,1402.78,554.01,2388.11
1,71,0.0016,-0.0003,100.0,642.21,1580.41,1403.09,554.06,2388.03
1,72,-0.0017,1e-04,100.0,642.41,1579.25,1406.81,553.76,2388.07
1,73,-0.0012,-0.0002,100.0,642.29,1592.04,1397.93,553.88,2388.03
1,74,0.0027,1e-04,100.0,642.96,1584.65,1401.48,554.03,2388.07
1,75,0.0009,-0.0004,100.0,641.96,1582.32,1394.82,553.6,2388.07
1,76,-0.0015,0.0002,100.0,642.21,1589.21,1398.94,553.66,2388.02
1,77,0.0022,0.0004,100.0,642.55,1586.3,1400.97,554.61,2388.06
1,78,0.004,0.0002,100.0,641.99,1580.76,1404.1,553.47,2388.08
1,79,0.0022,-0.0002,100.0,642.12,1582.46,1403.93,553.77,2388.04
1,80,-0.0002,-0.0004,100.0,641.94,1591.96,1393.58,553.91,2388.06
1,81,-0.0018,-0.0004,100.0,642.73,1584.82,1402.04,553.88,2388.1
1,82,-0.0012,1e-04,100.0,642.04,1589.07,1399.17,554.18,2388.1
1,83,0.0004,0.0005,100.0,642.66,1588.05,1406.38,553.49,2388.08
1,84,0.0005,0.0002,100.0,642.64,1585.52,1406.6,553.91,2388.05
1,85,0.0025,0.0003,100.0,642.28,1590.12,1405.96,554.4,2388.01
1,86,-0.0012,0.0004,100.0,641.84,1588.8,1403.56,553.69,2388.1
1,87,0.0,-0.0004,100.0,642.33,1586.69,1413.1,554.1,2388.14
1,88,0.0029,0.0003,100.0,641.96,1581.29,1406.09,554.48,2388.07
1,89,0.0008,-1e-04,100.0,642.24,1584.73,1402.22,553.91,2388.05
1,90,0.0017,-1e-04,100.0,642.67,1584.38,1412.93,552.88,2388.1
1,91,0.0025,-0.0004,100.0,641.98,1584.84,1404.76,553.54,2388.04
1,92,0.001,-0.0002,100.0,642.89,1590.03,1400.77,553.81,2388.14
1,93,0.0032,0.0002,100.0,642.85,1593.74,1408.48,554.07,2388.07
1,94,-0.0021,0.0002,100.0,642.45,1583.27,1404.94,553.86,2388.15
1,95,0.0019,0.0003,100.0,642.86,1577.6,1410.1,553.91,2388.02
1,96,-0.0034,1e-04,100.0,642.19,1584.07,1395.16,553.34,2388.07
1,97,0.0035,-0.0003,100.0,642.07,1595.77,1407.81,553.4,2388.09
1,98,0.0006,0.0004,100.0,642.0,1591.11,1404.56,552.75,2388.06
1,99,-0.0005,-0.0,100.0,642.46,1592.73,1406.13,553.76,2388.08
1,100,-0.0021,-0.0003,100.0,642.22,1589.63,1411.35,554.22,2388.07
1,101,0.0012,0.0003,100.0,642.75,1584.18,1403.41,553.37,2388.06
1,102,0.0017,0.0005,100.0,642.85,1589.11,1403.42,553.42,2388.15
1,103,-0.0013,1e-04,100.0,642.21,1581.27,1403.21,553.64,2388.09
1,104,-1e-04,1e-04,100.0,642.29,1590.63,1406.25,553.66,2388.08
1,105,0.0024,0.0004,100.0,642.01,1588.28,1403.22,553.11,2388.09
1,106,0.0,1e-04,100.0,642.68,1589.05,1404.45,553.6,2388.08
1,107,-0.0012,-1e-04,100.0,642.53,1595.13,1407.73,553.74,2388.07
1,108,0.0008,1e-04,100.0,643.49,1585.91,1399.47,554.43,2388.14
1,109,-0.0011,-0.0003,100.0,642.49,1586.45,1409.1,553.59,2388.1
1,110,-0.0,0.0004,100.0,642.55,1590.01,1401.27,554.08,2388.13
1,111,0.0008,0.0004,100.0,642.67,1584.38,1408.11,553.49,2388.12
1,112,0.0005,0.0003,100.0,642.66,1586.46,1401.84,553.19,2388.06
1,113,0.0007,1e-04,100.0,642.68,1590.85,1406.59,552.91,2388.1
1,114,0.0003,0.0004,100.0,642.31,1588.42,1402.97,554.29,2388.07
1,115,-0.0017,0.0005,100.0,642.66,1594.84,1406.6,554.13,2388.11
1,116,-0.002,-0.0003,100.0,642.64,1580.31,1401.99,554.4,2388.08
1,117,0.0005,0.0004,100.0,642.38,1589.77,1409.35,554.59,2388.1
1,118,-0.0006,-0.0004,100.0,642.34,1585.67,1409.34,554.25,2388.1
